policy_step,time_sec,state,joint_idx,raw_idx,raw_action,mapped_action,action_scale,scaled,default_q,command,q,dq,control_type,policy_kp,policy_kd,low_qd,low_qd_dot,low_kp,low_kd,low_tau_pre_clamp,torque_limit,fsm_final_tau,bridge_tau_pvt_false,raw_actions,mapped_actions,obs_ang_vel,obs_gravity,obs_commands,obs_lin_vel,obs_vec
0,1776796835.689817905,rl_flat,3,3,0.010093398,0.010093398,0.500000000,0.005046699,0.000000000,0.005046699,0.987542152,0.000534912,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,0.057609111,20.000000000,0.057609111,0.057609111,"-1.045527;0.220471;0.046932;0.010093;0.927410;0.387627;0.179955;-0.434712","-1.045527;0.220471;0.046932;0.010093;0.927410;0.387627;0.179955;-0.434712","-0.000000;0.000876;0.000002","0.216890;0.000062;-0.976196","0.000000;0.000000;0.000000","0.000020;0.000000;0.000191","-0.000000;0.000219;0.000000;0.216890;0.000062;-0.976196;0.000000;0.000000;0.000000;-0.064944;0.064551;0.213963;0.214912;-1.446038;-1.445522;-0.000040;0.000040;-0.000062;-0.000061;0.000007;0.000007;0.000027;0.000026;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000039;0.000000"
0,1776796835.689817905,rl_flat,7,7,-0.434711874,-0.434711874,0.500000000,-0.217355937,0.000000000,-0.217355937,1.018365026,0.000520718,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.500009847,20.000000000,-2.500009847,-2.500009847,"-1.045527;0.220471;0.046932;0.010093;0.927410;0.387627;0.179955;-0.434712","-1.045527;0.220471;0.046932;0.010093;0.927410;0.387627;0.179955;-0.434712","-0.000000;0.000876;0.000002","0.216890;0.000062;-0.976196","0.000000;0.000000;0.000000","0.000020;0.000000;0.000191","-0.000000;0.000219;0.000000;0.216890;0.000062;-0.976196;0.000000;0.000000;0.000000;-0.064944;0.064551;0.213963;0.214912;-1.446038;-1.445522;-0.000040;0.000040;-0.000062;-0.000061;0.000007;0.000007;0.000027;0.000026;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000039;0.000000"
1,1776796835.709780931,rl_flat,3,3,-0.169795245,-0.169795245,0.500000000,-0.084897622,0.000000000,-0.084897622,0.989350617,0.443583012,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.331189068,20.000000000,-1.331189068,-1.331189068,"-1.075714;0.168260;-0.098149;-0.169795;1.063145;0.380048;-0.009280;-0.545527","-1.075714;0.168260;-0.098149;-0.169795;1.063145;0.380048;-0.009280;-0.545527","0.045090;0.150800;-0.022223","0.217438;-0.000137;-0.976074","0.000000;0.000000;0.000000","-0.064790;0.002207;0.119820","0.011272;0.037700;-0.005556;0.217438;-0.000137;-0.976074;0.000000;0.000000;0.000000;-0.055559;0.054499;0.203943;0.206036;-1.425583;-1.424532;0.065053;-0.069168;-0.087064;-0.073294;0.153431;0.155308;0.022179;-0.010976;-1.045527;0.220471;0.046932;0.010093;0.927410;0.387627;0.179955;-0.434712;-0.129581;0.004414"
1,1776796835.709780931,rl_flat,7,7,-0.545527279,-0.545527279,0.500000000,-0.272763640,0.000000000,-0.272763640,1.016930699,-0.219512090,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.961172184,20.000000000,-2.961172184,-2.961172184,"-1.075714;0.168260;-0.098149;-0.169795;1.063145;0.380048;-0.009280;-0.545527","-1.075714;0.168260;-0.098149;-0.169795;1.063145;0.380048;-0.009280;-0.545527","0.045090;0.150800;-0.022223","0.217438;-0.000137;-0.976074","0.000000;0.000000;0.000000","-0.064790;0.002207;0.119820","0.011272;0.037700;-0.005556;0.217438;-0.000137;-0.976074;0.000000;0.000000;0.000000;-0.055559;0.054499;0.203943;0.206036;-1.425583;-1.424532;0.065053;-0.069168;-0.087064;-0.073294;0.153431;0.155308;0.022179;-0.010976;-1.045527;0.220471;0.046932;0.010093;0.927410;0.387627;0.179955;-0.434712;-0.129581;0.004414"
2,1776796835.729868889,rl_flat,3,3,-0.169368535,-0.169368535,0.500000000,-0.084684268,0.000000000,-0.084684268,1.004566193,1.316704750,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.027232878,20.000000000,-2.027232878,-2.027232878,"-1.069895;0.243567;-0.020934;-0.169369;0.990707;0.473788;0.031791;-0.508430","-1.069895;0.243567;-0.020934;-0.169369;0.990707;0.473788;0.031791;-0.508430","0.135872;0.455981;-0.020186","0.221449;-0.001083;-0.975171","0.000000;0.000000;0.000000","-0.114355;0.003965;0.340582","0.033968;0.113995;-0.005047;0.221449;-0.001083;-0.975171;0.000000;0.000000;0.000000;-0.050490;0.048928;0.176768;0.185519;-1.397265;-1.398774;-0.000534;-0.014795;-0.131935;-0.090350;0.116710;0.108845;0.061010;-0.005474;-1.075714;0.168260;-0.098149;-0.169795;1.063145;0.380048;-0.009280;-0.545527;-0.228711;0.007929"
2,1776796835.729868889,rl_flat,7,7,-0.508430302,-0.508430302,0.500000000,-0.254215151,0.000000000,-0.254215151,1.018108606,-0.288159549,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.692946598,20.000000000,-2.692946598,-2.692946598,"-1.069895;0.243567;-0.020934;-0.169369;0.990707;0.473788;0.031791;-0.508430","-1.069895;0.243567;-0.020934;-0.169369;0.990707;0.473788;0.031791;-0.508430","0.135872;0.455981;-0.020186","0.221449;-0.001083;-0.975171","0.000000;0.000000;0.000000","-0.114355;0.003965;0.340582","0.033968;0.113995;-0.005047;0.221449;-0.001083;-0.975171;0.000000;0.000000;0.000000;-0.050490;0.048928;0.176768;0.185519;-1.397265;-1.398774;-0.000534;-0.014795;-0.131935;-0.090350;0.116710;0.108845;0.061010;-0.005474;-1.075714;0.168260;-0.098149;-0.169795;1.063145;0.380048;-0.009280;-0.545527;-0.228711;0.007929"
3,1776796835.749884844,rl_flat,3,3,-0.273654968,-0.273654968,0.500000000,-0.136827484,0.000000000,-0.136827484,1.020791411,1.225248098,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.553714542,20.000000000,-2.553714542,-2.553714542,"-1.059980;0.227414;-0.088993;-0.273655;1.006184;0.578143;0.054449;-0.491958","-1.059980;0.227414;-0.088993;-0.273655;1.006184;0.578143;0.054449;-0.491958","0.144965;0.513317;0.013582","0.228660;-0.003054;-0.973502","0.000000;0.000000;0.000000","-0.201774;0.007295;0.553984","0.036241;0.128329;0.003396;0.228660;-0.003054;-0.973502;0.000000;0.000000;0.000000;-0.050469;0.044029;0.131549;0.162044;-1.354795;-1.359232;0.000403;-0.019214;-0.170573;-0.074454;0.176353;0.164570;0.061262;-0.088175;-1.069895;0.243567;-0.020934;-0.169369;0.990707;0.473788;0.031791;-0.508430;-0.403548;0.014591"
3,1776796835.749884844,rl_flat,7,7,-0.491957784,-0.491957784,0.500000000,-0.245978892,0.000000000,-0.245978892,1.004243970,-1.763507724,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.417951077,20.000000000,-1.417951077,-1.417951077,"-1.059980;0.227414;-0.088993;-0.273655;1.006184;0.578143;0.054449;-0.491958","-1.059980;0.227414;-0.088993;-0.273655;1.006184;0.578143;0.054449;-0.491958","0.144965;0.513317;0.013582","0.228660;-0.003054;-0.973502","0.000000;0.000000;0.000000","-0.201774;0.007295;0.553984","0.036241;0.128329;0.003396;0.228660;-0.003054;-0.973502;0.000000;0.000000;0.000000;-0.050469;0.044029;0.131549;0.162044;-1.354795;-1.359232;0.000403;-0.019214;-0.170573;-0.074454;0.176353;0.164570;0.061262;-0.088175;-1.069895;0.243567;-0.020934;-0.169369;0.990707;0.473788;0.031791;-0.508430;-0.403548;0.014591"
4,1776796835.769897938,rl_flat,3,3,-0.444470733,-0.444470733,0.500000000,-0.222235367,0.000000000,-0.222235367,1.029884219,-0.185662672,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.407176580,20.000000000,-2.407176580,-2.407176580,"-1.004769;0.234901;-0.139735;-0.444471;1.040900;0.618674;-0.042244;-0.529010","-1.004769;0.234901;-0.139735;-0.444471;1.040900;0.618674;-0.042244;-0.529010","0.031988;0.148626;0.058984","0.235080;-0.004975;-0.971963","0.000000;0.000000;0.000000","-0.257782;0.011867;0.713168","0.007997;0.037156;0.014746;0.235080;-0.004975;-0.971963;0.000000;0.000000;0.000000;-0.049169;0.036546;0.069285;0.142778;-1.269585;-1.278105;0.006171;-0.017110;-0.140249;-0.034277;0.240872;0.232558;-0.009283;-0.199071;-1.059980;0.227414;-0.088993;-0.273655;1.006184;0.578143;0.054449;-0.491958;-0.515563;0.023734"
4,1776796835.769897938,rl_flat,7,7,-0.529010117,-0.529010117,0.500000000,-0.264505059,0.000000000,-0.264505059,0.941713274,-3.981415033,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,0.143323854,20.000000000,0.143323854,0.143323854,"-1.004769;0.234901;-0.139735;-0.444471;1.040900;0.618674;-0.042244;-0.529010","-1.004769;0.234901;-0.139735;-0.444471;1.040900;0.618674;-0.042244;-0.529010","0.031988;0.148626;0.058984","0.235080;-0.004975;-0.971963","0.000000;0.000000;0.000000","-0.257782;0.011867;0.713168","0.007997;0.037156;0.014746;0.235080;-0.004975;-0.971963;0.000000;0.000000;0.000000;-0.049169;0.036546;0.069285;0.142778;-1.269585;-1.278105;0.006171;-0.017110;-0.140249;-0.034277;0.240872;0.232558;-0.009283;-0.199071;-1.059980;0.227414;-0.088993;-0.273655;1.006184;0.578143;0.054449;-0.491958;-0.515563;0.023734"
